what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594473952
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594479502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594480986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594491655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1309594499109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1309594502077
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1309594517987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594518646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594532791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594547243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594552080
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594553198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1309594567290
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1309594569373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594570329
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594577392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1309594580581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594581262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594830520
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594833352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1309594838920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594839123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594853406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1309594860358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594860728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594864206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1309594868724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594869047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594917783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594922277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594925007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594927681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594929499
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1309594931349
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1309594933882
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594936051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1309594939362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1309594939754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1309594948482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594949457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594955496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1309594982461
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1309594988439
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594989958
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1309594991421
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594991421
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594991449
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594991459
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1309594991464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309594995101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598030024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598030292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598030758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598031259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598031779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598032797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598326894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598390536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598391511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598394723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309598919393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1309599919631
