what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035576186
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265035576302
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035622700
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265035627202
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035627502
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035636146
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1265035642571
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1265035645346
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265035672790
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035673091
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035692350
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1265035759656
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265035775832
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035782254
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035790839
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265035801433
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035801782
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035852852
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265035858792
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035859193
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035866533
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1265035869171
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1265035870324
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265035870971
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265035871415
