what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.showInformation,1265824866167
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824866203
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824867096
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265824908545
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824909818
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824945550
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265824963867
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824964484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824964907
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824965519
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824970531
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1265824981238
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1265824985608
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824986014
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265824989910
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1265824992693
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1265824997331
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1265825010919
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1265825028587
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1265825028955
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1265825029262
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1265825029566
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1265825030129
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1265825030536
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1265825030902
