what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266166832398
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166832738
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166836110
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266166841786
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166842343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166852591
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266166854327
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166854798
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166859871
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266166862453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166862979
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166866858
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266166868100
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166868518
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166900629
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266166904151
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166904539
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166909990
started,bundle,org.eclipse.cdt.launch,5.0.2.200902130801,org.eclipse.cdt.launch,1266166913341
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266166914228
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166914540
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166943508
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166950330
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266166950448
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266166961505
