what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560100273
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560102584
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560102983
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560148595
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560166225
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560166967
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263560174212
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560175042
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560180103
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1263560305617
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263560307945
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560308839
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560312694
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263560350892
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560351472
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560367144
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263560372641
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560373272
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560419998
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1263560421264
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263560423960
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263560424688
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263563610511
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263563611957
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263563613088
