what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263995535438
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995553218
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263995553299
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995595416
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263995604477
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995605103
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995611136
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263995617115
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995617882
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995648340
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263995653261
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995653906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995657117
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1263995680345
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263995681551
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995682075
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995697729
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995701720
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995731820
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263995781573
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995798985
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995803977
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263995807352
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995807795
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263995844925
