what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635539848
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635540325
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635552573
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263635552620
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635597408
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635601432
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635621427
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1263635622371
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1263635623161
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1263635623177
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635674509
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635680582
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635680897
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635874098
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1263635874155
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635877385
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263635880641
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1263635881147
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1263635881347
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263636053081
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263636053821
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263636054731
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263636055218
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263636055806
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263636056115
